Year,United States,Russia,United Kingdom,France,China,India,Pakistan,North Korea
1945,0,0,0,0,0,0,0,0
1946,0,0,0,0,0,0,0,0
1947,0,0,0,0,0,0,0,0
1948,0,0,0,0,0,0,0,0
1949,0,0,0,0,0,0,0,0
1950,0,0,0,0,0,0,0,0
1951,1,0,0,0,0,0,0,0
1952,0,0,0,0,0,0,0,0
1953,0,0,0,0,0,0,0,0
1954,0,0,0,0,0,0,0,0
1955,1,0,0,0,0,0,0,0
1956,0,0,0,0,0,0,0,0
1957,5,0,0,0,0,0,0,0
1958,15,0,0,0,0,0,0,0
1959,0,0,0,0,0,0,0,0
1960,0,0,0,0,0,0,0,0
1961,10,1,0,1,0,0,0,0
1962,57,1,2,1,0,0,0,0
1963,43,0,0,3,0,0,0,0
1964,45,9,2,3,0,0,0,0
1965,38,14,1,4,0,0,0,0
1966,48,18,0,1,0,0,0,0
1967,42,17,0,0,0,0,0,0
1968,56,17,0,0,0,0,0,0
1969,46,19,0,0,1,0,0,0
1970,39,16,0,0,0,0,0,0
1971,24,23,0,0,0,0,0,0
1972,27,24,0,0,0,0,0,0
1973,24,17,0,0,0,0,0,0
1974,22,21,1,0,0,1,0,0
1975,22,19,0,2,1,0,0,0
1976,20,21,1,5,1,0,0,0
1977,20,24,0,9,0,0,0,0
1978,19,31,2,11,1,0,0,0
1979,15,31,1,10,0,0,0,0
1980,14,24,3,12,0,0,0,0
1981,16,21,1,12,0,0,0,0
1982,18,19,1,10,1,0,0,0
1983,18,25,1,9,2,0,0,0
1984,18,27,2,8,2,0,0,0
1985,17,10,1,8,0,0,0,0
1986,14,0,1,8,0,0,0,0
1987,14,23,1,8,1,0,0,0
1988,15,16,0,8,1,0,0,0
1989,11,7,1,9,0,0,0,0
1990,8,1,1,6,2,0,0,0
1991,7,0,1,6,0,0,0,0
1992,6,0,0,0,2,0,0,0
1993,0,0,0,0,1,0,0,0
1994,0,0,0,0,2,0,0,0
1995,0,0,0,5,2,0,0,0
1996,0,0,0,1,2,0,0,0
1997,0,0,0,0,0,0,0,0
1998,0,0,0,0,0,2,2,0
1999,0,0,0,0,0,0,0,0
2000,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0
2002,0,0,0,0,0,0,0,0
2003,0,0,0,0,0,0,0,0
2004,0,0,0,0,0,0,0,0
2005,0,0,0,0,0,0,0,0
2006,0,0,0,0,0,0,0,1
2007,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,1
2010,0,0,0,0,0,0,0,0
2011,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0
2013,0,0,0,0,0,0,0,1
2014,0,0,0,0,0,0,0,0
2015,0,0,0,0,0,0,0,0
2016,0,0,0,0,0,0,0,2
2017,0,0,0,0,0,0,0,1
