time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-09-26T04:20:00.760Z,-23.7135,-176.9366,98.07,6.4,mww,,22,5.58,1.13,us,us2000autd,2017-09-26T16:50:03.040Z,"South of the Fiji Islands",earthquake,7.3,6.1,0.073,18,reviewed,us,us
2017-09-23T12:53:02.180Z,16.7475,-94.9453,9.08,6.1,mww,,37,3.602,0.93,us,us2000atjv,2017-09-26T15:04:46.341Z,"17km SSE of Matias Romero, Mexico",earthquake,7.5,2.8,0.042,55,reviewed,us,us
2017-09-23T08:29:17.560Z,41.3116,129.0524,5,3.5,ml,,160,3.328,0.93,us,us2000ati7,2017-09-23T17:13:10.944Z,"22km ENE of Sungjibaegam, North Korea",earthquake,8.3,2,0.181,4,reviewed,us,us
2017-09-20T20:09:49.810Z,-18.7978,169.0947,200.19,6.4,mww,,20,2.631,1,us,us2000as2f,2017-09-22T16:21:28.040Z,"85km NNW of Isangel, Vanuatu",earthquake,7.6,5.4,0.051,37,reviewed,us,us
2017-09-20T16:37:16.230Z,37.9816,144.6693,10,6.1,mww,,33,3.069,0.86,us,us2000arxv,2017-09-26T21:37:35.403Z,"281km ESE of Kamaishi, Japan",earthquake,7.4,1.8,0.063,24,reviewed,us,us
2017-09-19T18:14:38.380Z,18.5462,-98.4871,51,7.1,mww,,23,0.981,1.09,us,us2000ar20,2017-09-27T07:08:11.501Z,"1km ESE of Ayutla, Mexico",earthquake,5.9,1.8,0.048,41,reviewed,us,us
2017-09-19T11:47:28.710Z,38.4238333,-87.9098333,11.68,3.8,mw,36,31,0.1008,0.18,nm,nm60207021,2017-09-27T14:05:57.914Z,"12km ENE of Albion, Illinois",earthquake,0.25,0.43,,62,reviewed,nm,nm
2017-09-19T06:20:44.370Z,34.0866667,-118.4756667,10.48,3.61,ml,167,47,0.02591,0.25,ci,ci37766535,2017-09-27T05:51:23.612Z,"5km NW of Westwood, CA",earthquake,0.13,0.26,0.148,351,reviewed,ci,ci
2017-09-15T01:17:47.780Z,37.414,-121.8056667,-0.21,3.28,mw,150,29,0.03653,0.18,nc,nc72892486,2017-09-21T04:22:50.389Z,"3km NNE of East Foothills, California",earthquake,0.1,0.42,,3,reviewed,nc,nc
2017-09-08T04:49:21.410Z,15.0678,-93.715,69.65,8.1,mww,,32,18.084,1.19,us,us2000ahv0,2017-09-27T05:54:15.880Z,"87km SW of Pijijiapan, Mexico",earthquake,9.5,4.2,0.068,21,reviewed,us,us
2017-09-08T02:26:23.700Z,36.6996,-97.683,6.073,4.3,mwr,,49,,0.7,us,us2000ahub,2017-09-16T23:33:50.935Z,"12km SSE of Medford, Oklahoma",earthquake,1.4,5.9,0.036,75,reviewed,tul,us
2017-09-03T03:30:01.770Z,41.3343,129.0307,0,6.3,mb,,10,3.307,0.85,us,us2000aert,2017-09-23T20:53:41.849Z,"21km ENE of Sungjibaegam, North Korea",explosion,5.5,1.6,0.02,944,reviewed,us,us
2017-09-02T23:56:52.690Z,42.6373,-111.4178,9.63,5.3,mww,,30,0.266,0.57,us,us2000aekg,2017-09-25T21:50:57.874Z,"15km E of Soda Springs, Idaho",earthquake,2.9,3.1,0.038,68,reviewed,us,us
2017-08-31T17:06:55.750Z,-1.159,99.6881,43.14,6.3,mww,,20,2,1.13,us,us2000adjh,2017-09-12T21:05:04.409Z,"71km NE of Muara Siberut, Indonesia",earthquake,6.5,3.3,0.056,31,reviewed,us,us
