time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-11-20T23:50:44.205Z,19.4512,101.3449,10,6.1,mww,,33,2.356,0.77,us,us70006ara,2019-11-21T17:49:21.775Z,"31km ESE of Chaloem Phra Kiat, Thailand",earthquake,6.8,1.8,0.089,12,reviewed,us,us
2019-11-20T08:26:07.542Z,53.1633,153.6852,486.81,6.3,mww,,38,2.418,0.99,us,us70006a9e,2019-11-21T08:29:00.055Z,"267km NW of Ozernovskiy, Russia",earthquake,9.7,10.7,0.071,19,reviewed,us,us
2019-11-20T04:27:05.921Z,13.9824,-93.1298,10.97,6.3,mww,,67,1.492,1.19,us,us70006a6q,2019-11-21T15:16:26.841Z,"111km SW of Puerto Madero, Mexico",earthquake,6.7,2.5,0.059,28,reviewed,us,us
2019-11-18T13:22:09.943Z,7.6247,124.9124,13.11,5.9,mww,,41,0.861,0.74,us,us700069f4,2019-11-19T21:22:37.040Z,"2km N of Kadingilan, Philippines",earthquake,6.5,3.8,0.078,16,reviewed,us,us
2019-11-14T16:17:40.457Z,1.6294,126.4144,33,7.1,mww,,11,1.277,1.05,us,us60006bjl,2019-11-19T19:11:23.695Z,"138km E of Bitung, Indonesia",earthquake,6.6,1.8,0.036,75,reviewed,us,us
2019-11-11T16:35:52.790Z,19.8638333,-155.3561667,32.56,4.93,ml,10,102,0.1157,0.07,hv,hv71228166,2019-11-19T17:58:14.040Z,"26km W of Pepeekeo, Hawaii",earthquake,1.02,2.52,0.189,55,reviewed,hv,hv
2019-11-08T10:44:44.876Z,-21.9688,-179.4911,582.92,6.5,mww,,32,4.795,0.89,us,us6000693m,2019-11-09T10:46:52.562Z,"167km SSW of Ndoi Island, Fiji",earthquake,7.4,5,0.08,15,reviewed,us,us
2019-11-07T22:47:05.428Z,37.8075,47.5577,10,5.9,mww,,20,2.744,0.63,us,us600068w0,2019-11-12T03:23:57.875Z,"57km NE of Hashtrud, Iran",earthquake,6.8,1.7,0.059,28,reviewed,us,us
2019-11-07T13:05:39.400Z,34.2761667,-119.2936667,14.56,3.42,ml,82,82,0.0006503,0.34,ci,ci38229250,2019-11-10T22:20:11.493Z,"6km W of Ventura, CA",earthquake,0.31,0.43,0.183,180,reviewed,ci,ci
2019-11-05T20:52:01.296Z,-57.9643,-9.2701,10,6.3,mww,,73,14.018,1.37,us,us700063mh,2019-11-06T23:07:42.888Z,"East of the South Sandwich Islands",earthquake,10.4,1.8,0.048,41,reviewed,us,us
2019-11-04T22:43:32.280Z,-18.5747,-175.272,10,6.6,mww,,48,5.086,0.93,us,us7000635e,2019-11-13T03:53:19.326Z,"136km W of Neiafu, Tonga",earthquake,8.3,1.8,0.04,61,reviewed,us,us
2019-11-04T21:53:25.320Z,-31.8362,-71.3753,53,6.1,mww,,23,0.707,1.14,us,us70006345,2019-11-13T03:37:08.847Z,"30km SW of Illapel, Chile",earthquake,4.7,1.8,0.057,30,reviewed,us,us
2019-10-31T01:11:19.120Z,6.9098,125.1559,10,6.5,mww,,19,0.449,0.75,us,us700061e9,2019-11-18T20:47:32.986Z,"0km NW of Bulatukan, Philippines",earthquake,6,1.7,0.048,42,reviewed,us,us
2019-10-29T01:04:44.738Z,6.8016,125.0401,15.32,6.6,mww,,31,0.597,1.27,us,us6000645n,2019-11-21T07:38:41.043Z,"14km E of Bual, Philippines",earthquake,5.3,2.8,0.043,52,reviewed,us,us
2019-10-23T16:08:14.497Z,-1.0987,-13.8367,10,6.3,mww,,18,6.716,0.92,us,us70005xr7,2019-11-05T01:50:13.896Z,"North of Ascension Island",earthquake,8.9,1.8,0.063,24,reviewed,us,us
